t mart.s0 mart.sn aust.s0 aust.sn
2.081041e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.086043e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.091046e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.096048e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.101051e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.106053e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.111056e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.116058e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.121061e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.126063e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.131066e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.136068e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.141071e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.146073e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.151076e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.156078e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.161081e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.166083e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.171086e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.176088e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.181091e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.186093e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.191096e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.196098e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.201101e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.206103e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.211106e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.216108e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.221111e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.226113e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.231116e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
