mart_FoFo_CCEpara.log @ arthur-ltf
2018-06-22T20:44:57

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 1 (fixed.fluxes)

23600: t=640.000, cavg*=1.05673, r_mart=163.344, r_aust=2.40429
23800: t=650.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40393
24000: t=660.000, cavg*=1.05674, r_mart=163.344, r_aust=2.4036
24200: t=670.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40331
24400: t=680.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40305
24600: t=690.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40282
24800: t=700.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40262
25000: t=710.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40243
25200: t=720.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40227
25400: t=730.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40212
25600: t=740.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40199
25800: t=750.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40188
26000: t=760.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40177
26200: t=770.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40168
26400: t=780.000, cavg*=1.05674, r_mart=163.344, r_aust=2.4016
26600: t=790.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40152
26800: t=800.000, cavg*=1.05674, r_mart=163.344, r_aust=2.40146
27000: t=810.000, cavg*=1.05675, r_mart=163.344, r_aust=2.4014
27200: t=820.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40135
27400: t=830.000, cavg*=1.05675, r_mart=163.344, r_aust=2.4013
27600: t=840.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40126
27800: t=850.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40122
28000: t=860.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40119
28200: t=870.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40116
28400: t=880.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40113
28600: t=890.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40111
28800: t=900.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40109
29000: t=910.000, cavg*=1.05675, r_mart=163.344, r_aust=2.40107
