mart_FoFo_CCEortho.log @ arthur-ltf
2018-06-20T21:22:53

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

25600: t=740.000, cavg*=0.996398, r_mart=20.1126, r_aust=0.132898
25800: t=750.000, cavg*=0.996398, r_mart=20.1046, r_aust=0.132451
26000: t=760.000, cavg*=0.996398, r_mart=20.0967, r_aust=0.132006
26200: t=770.000, cavg*=0.996398, r_mart=20.0889, r_aust=0.131565
26400: t=780.000, cavg*=0.996397, r_mart=20.0811, r_aust=0.131126
26600: t=790.000, cavg*=0.996397, r_mart=20.0733, r_aust=0.130691
26800: t=800.000, cavg*=0.996397, r_mart=20.0657, r_aust=0.130258
27000: t=810.000, cavg*=0.996397, r_mart=20.058, r_aust=0.129828
27200: t=820.000, cavg*=0.996397, r_mart=20.0505, r_aust=0.129401
27400: t=830.000, cavg*=0.996396, r_mart=20.0429, r_aust=0.128977
27600: t=840.000, cavg*=0.996396, r_mart=20.0355, r_aust=0.128556
27800: t=850.000, cavg*=0.996396, r_mart=20.028, r_aust=0.128138
28000: t=860.000, cavg*=0.996396, r_mart=20.0207, r_aust=0.127723
28200: t=870.000, cavg*=0.996396, r_mart=20.0134, r_aust=0.127311
28400: t=880.000, cavg*=0.996396, r_mart=20.0061, r_aust=0.126901
28600: t=890.000, cavg*=0.996395, r_mart=19.9989, r_aust=0.126495
28800: t=900.000, cavg*=0.996395, r_mart=19.9917, r_aust=0.126091
29000: t=910.000, cavg*=0.996395, r_mart=19.9845, r_aust=0.125691
29200: t=920.000, cavg*=0.996395, r_mart=19.9775, r_aust=0.125293
29400: t=930.000, cavg*=0.996395, r_mart=19.9704, r_aust=0.124898
29600: t=940.000, cavg*=0.996395, r_mart=19.9634, r_aust=0.124506
29800: t=950.000, cavg*=0.996395, r_mart=19.9565, r_aust=0.124117
30000: t=960.000, cavg*=0.996395, r_mart=19.9496, r_aust=0.123731
30200: t=970.000, cavg*=0.996394, r_mart=19.9427, r_aust=0.123348
30400: t=980.000, cavg*=0.996394, r_mart=19.9359, r_aust=0.122968
30600: t=990.000, cavg*=0.996394, r_mart=19.9291, r_aust=0.12259
30800: t=1000.000, cavg*=0.996394, r_mart=19.9223, r_aust=0.122215
Time elapsed: 39.28 s

