bainite_FoFo_375.log @ arthur-tud
2019-07-15T12:33:24

c0 = 3.855349e-02 (approx 0.86 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -1.16 um; zn = -1.16 um; n = 10
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -1.16 um; zn = -0.39 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -0.39 um; zn = -0.39 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -0.39 um; zn = 0.00 um; n = 100
int1: type_int = 3 (mobile.mmode)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)

 1240: t=0.062, cavg*=1.00038, r_fer1=0, r_aus1=0.000172125, r_fer2=0, r_aus2=0.000686383
 1260: t=0.063, cavg*=1.00038, r_fer1=0, r_aus1=0.00017229, r_fer2=0, r_aus2=0.000687041
 1280: t=0.064, cavg*=1.00038, r_fer1=0, r_aus1=0.000172454, r_fer2=0, r_aus2=0.000687691
 1300: t=0.065, cavg*=1.00038, r_fer1=0, r_aus1=0.000172615, r_fer2=0, r_aus2=0.000688335
 1320: t=0.066, cavg*=1.00038, r_fer1=0, r_aus1=0.000172775, r_fer2=0, r_aus2=0.000688973
 1340: t=0.067, cavg*=1.00039, r_fer1=0, r_aus1=0.000172933, r_fer2=0, r_aus2=0.000689604
 1360: t=0.068, cavg*=1.00039, r_fer1=0, r_aus1=0.000173089, r_fer2=0, r_aus2=0.000690229
 1380: t=0.069, cavg*=1.00039, r_fer1=0, r_aus1=0.000173244, r_fer2=0, r_aus2=0.000690849
 1400: t=0.070, cavg*=1.00039, r_fer1=0, r_aus1=0.000173397, r_fer2=0, r_aus2=0.000691463
 1420: t=0.071, cavg*=1.00039, r_fer1=0, r_aus1=0.000173549, r_fer2=0, r_aus2=0.000692072
 1440: t=0.072, cavg*=1.00039, r_fer1=0, r_aus1=0.0001737, r_fer2=0, r_aus2=0.000692676
 1460: t=0.073, cavg*=1.00039, r_fer1=0, r_aus1=0.000173849, r_fer2=0, r_aus2=0.000693276
 1480: t=0.074, cavg*=1.00039, r_fer1=0, r_aus1=0.000173997, r_fer2=0, r_aus2=0.00069387
 1500: t=0.075, cavg*=1.00039, r_fer1=0, r_aus1=0.000174144, r_fer2=0, r_aus2=0.000694461
 1520: t=0.076, cavg*=1.00039, r_fer1=0, r_aus1=0.000174289, r_fer2=0, r_aus2=0.000695046
 1540: t=0.077, cavg*=1.00039, r_fer1=0, r_aus1=0.000174434, r_fer2=0, r_aus2=0.000695628
 1560: t=0.078, cavg*=1.00039, r_fer1=0, r_aus1=0.000174577, r_fer2=0, r_aus2=0.000696205
 1580: t=0.079, cavg*=1.00039, r_fer1=0, r_aus1=0.000174719, r_fer2=0, r_aus2=0.000696778
 1600: t=0.080, cavg*=1.00039, r_fer1=0, r_aus1=0.000174861, r_fer2=0, r_aus2=0.000697348
 1620: t=0.081, cavg*=1.00039, r_fer1=0, r_aus1=0.000175001, r_fer2=0, r_aus2=0.000697913
 1640: t=0.082, cavg*=1.00039, r_fer1=0, r_aus1=0.00017514, r_fer2=0, r_aus2=0.000698475
 1660: t=0.083, cavg*=1.00039, r_fer1=0, r_aus1=0.000175278, r_fer2=0, r_aus2=0.000699033
 1680: t=0.084, cavg*=1.00039, r_fer1=0, r_aus1=0.000175415, r_fer2=0, r_aus2=0.000699587
 1700: t=0.085, cavg*=1.00039, r_fer1=0, r_aus1=0.000175551, r_fer2=0, r_aus2=0.000700138
 1720: t=0.086, cavg*=1.00039, r_fer1=0, r_aus1=0.000175686, r_fer2=0, r_aus2=0.000700686
 1740: t=0.087, cavg*=1.00039, r_fer1=0, r_aus1=0.00017582, r_fer2=0, r_aus2=0.00070123
 1760: t=0.088, cavg*=1.00039, r_fer1=0, r_aus1=0.000175954, r_fer2=0, r_aus2=0.00070177
 1780: t=0.089, cavg*=1.00039, r_fer1=0, r_aus1=0.000176086, r_fer2=0, r_aus2=0.000702308
 1800: t=0.090, cavg*=1.00038, r_fer1=0, r_aus1=0.000176218, r_fer2=0, r_aus2=0.000702842
 1820: t=0.091, cavg*=1.00038, r_fer1=0, r_aus1=0.00017635, r_fer2=0, r_aus2=0.000703373
 1840: t=0.092, cavg*=1.00038, r_fer1=0, r_aus1=0.000176481, r_fer2=0, r_aus2=0.0007039
 1860: t=0.093, cavg*=1.00038, r_fer1=0, r_aus1=0.000176612, r_fer2=0, r_aus2=0.000704424
 1880: t=0.094, cavg*=1.00038, r_fer1=0, r_aus1=0.000176741, r_fer2=0, r_aus2=0.000704945
 1900: t=0.095, cavg*=1.00038, r_fer1=0, r_aus1=0.00017687, r_fer2=0, r_aus2=0.000705466
 1920: t=0.096, cavg*=1.00038, r_fer1=0, r_aus1=0.000176997, r_fer2=0, r_aus2=0.000705985
 1940: t=0.097, cavg*=1.00038, r_fer1=0, r_aus1=0.000177124, r_fer2=0, r_aus2=0.0007065
 1960: t=0.098, cavg*=1.00038, r_fer1=0, r_aus1=0.000177249, r_fer2=0, r_aus2=0.000707011
 1980: t=0.099, cavg*=1.00038, r_fer1=0, r_aus1=0.000177374, r_fer2=0, r_aus2=0.000707519
 2000: t=0.100, cavg*=1.00038, r_fer1=0, r_aus1=0.000177498, r_fer2=0, r_aus2=0.000708024
 2020: t=0.101, cavg*=1.00038, r_fer1=0, r_aus1=0.000177621, r_fer2=0, r_aus2=0.000708526
 2040: t=0.102, cavg*=1.00038, r_fer1=0, r_aus1=0.000177743, r_fer2=0, r_aus2=0.000709026
 2060: t=0.103, cavg*=1.00038, r_fer1=0, r_aus1=0.000177865, r_fer2=0, r_aus2=0.000709523
 2080: t=0.104, cavg*=1.00038, r_fer1=0, r_aus1=0.000177986, r_fer2=0, r_aus2=0.000710017
 2100: t=0.105, cavg*=1.00038, r_fer1=0, r_aus1=0.000178106, r_fer2=0, r_aus2=0.000710508
 2120: t=0.106, cavg*=1.00038, r_fer1=0, r_aus1=0.000178226, r_fer2=0, r_aus2=0.000710998
 2140: t=0.107, cavg*=1.00038, r_fer1=0, r_aus1=0.000178345, r_fer2=0, r_aus2=0.000711485
 2160: t=0.108, cavg*=1.00038, r_fer1=0, r_aus1=0.000178463, r_fer2=0, r_aus2=0.000711969
 2180: t=0.109, cavg*=1.00038, r_fer1=0, r_aus1=0.000178581, r_fer2=0, r_aus2=0.000712451
 2200: t=0.110, cavg*=1.00038, r_fer1=0, r_aus1=0.000178698, r_fer2=0, r_aus2=0.000712931
 2220: t=0.111, cavg*=1.00038, r_fer1=0, r_aus1=0.000178815, r_fer2=0, r_aus2=0.000713409
 2240: t=0.112, cavg*=1.00038, r_fer1=0, r_aus1=0.000178931, r_fer2=0, r_aus2=0.000713884
 2260: t=0.113, cavg*=1.00038, r_fer1=0, r_aus1=0.000179046, r_fer2=0, r_aus2=0.000714357
 2280: t=0.114, cavg*=1.00038, r_fer1=0, r_aus1=0.000179161, r_fer2=0, r_aus2=0.000714828
 2300: t=0.115, cavg*=1.00038, r_fer1=0, r_aus1=0.000179276, r_fer2=0, r_aus2=0.000715297
 2320: t=0.116, cavg*=1.00038, r_fer1=0, r_aus1=0.000179389, r_fer2=0, r_aus2=0.000715764
 2340: t=0.117, cavg*=1.00038, r_fer1=0, r_aus1=0.000179503, r_fer2=0, r_aus2=0.000716229
 2360: t=0.118, cavg*=1.00038, r_fer1=0, r_aus1=0.000179615, r_fer2=0, r_aus2=0.000716692
 2380: t=0.119, cavg*=1.00038, r_fer1=0, r_aus1=0.000179728, r_fer2=0, r_aus2=0.000717153
 2400: t=0.120, cavg*=1.00038, r_fer1=0, r_aus1=0.000179839, r_fer2=0, r_aus2=0.000717611
 2420: t=0.121, cavg*=1.00037, r_fer1=0, r_aus1=0.000179951, r_fer2=0, r_aus2=0.000718068
 2440: t=0.122, cavg*=1.00037, r_fer1=0, r_aus1=0.000180061, r_fer2=0, r_aus2=0.000718523
 2460: t=0.123, cavg*=1.00037, r_fer1=0, r_aus1=0.000180172, r_fer2=0, r_aus2=0.000718976
 2480: t=0.124, cavg*=1.00037, r_fer1=0, r_aus1=0.000180281, r_fer2=0, r_aus2=0.000719427
 2500: t=0.125, cavg*=1.00037, r_fer1=0, r_aus1=0.000180391, r_fer2=0, r_aus2=0.000719877
 2520: t=0.126, cavg*=1.00037, r_fer1=0, r_aus1=0.0001805, r_fer2=0, r_aus2=0.000720324
 2540: t=0.127, cavg*=1.00037, r_fer1=0, r_aus1=0.000180608, r_fer2=0, r_aus2=0.00072077
 2560: t=0.128, cavg*=1.00037, r_fer1=0, r_aus1=0.000180716, r_fer2=0, r_aus2=0.000721214
 2580: t=0.129, cavg*=1.00037, r_fer1=0, r_aus1=0.000180823, r_fer2=0, r_aus2=0.000721656
 2600: t=0.130, cavg*=1.00037, r_fer1=0, r_aus1=0.00018093, r_fer2=0, r_aus2=0.000722097
