coupled_FoFo_375_mu23e3.log @ arthur-ltf
2018-06-21T02:36:26

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

  940: t=0.047, cavg*=0.998191, r_mart=0.146026, r_aus1=0.00320961, r_fer1=0, r_aus2=0.00142279, r_fer2=0
  960: t=0.048, cavg*=0.99816, r_mart=0.146022, r_aus1=0.00321018, r_fer1=0, r_aus2=0.00142826, r_fer2=0
  980: t=0.049, cavg*=0.998129, r_mart=0.146018, r_aus1=0.00321074, r_fer1=0, r_aus2=0.00143372, r_fer2=0
 1000: t=0.050, cavg*=0.998099, r_mart=0.146014, r_aus1=0.0032113, r_fer1=0, r_aus2=0.00143915, r_fer2=0
 1020: t=0.051, cavg*=0.99807, r_mart=0.14601, r_aus1=0.00321186, r_fer1=0, r_aus2=0.00144457, r_fer2=0
 1040: t=0.052, cavg*=0.998041, r_mart=0.146007, r_aus1=0.00321241, r_fer1=0, r_aus2=0.00144998, r_fer2=0
 1060: t=0.053, cavg*=0.998012, r_mart=0.146004, r_aus1=0.00321297, r_fer1=0, r_aus2=0.00145537, r_fer2=0
 1080: t=0.054, cavg*=0.997984, r_mart=0.146001, r_aus1=0.00321352, r_fer1=0, r_aus2=0.00146075, r_fer2=0
 1100: t=0.055, cavg*=0.997957, r_mart=0.145998, r_aus1=0.00321407, r_fer1=0, r_aus2=0.00146612, r_fer2=0
 1120: t=0.056, cavg*=0.99793, r_mart=0.145995, r_aus1=0.00321462, r_fer1=0, r_aus2=0.00147148, r_fer2=0
 1140: t=0.057, cavg*=0.997903, r_mart=0.145992, r_aus1=0.00321516, r_fer1=0, r_aus2=0.00147682, r_fer2=0
 1160: t=0.058, cavg*=0.997877, r_mart=0.14599, r_aus1=0.00321571, r_fer1=0, r_aus2=0.00148214, r_fer2=0
 1180: t=0.059, cavg*=0.997851, r_mart=0.145987, r_aus1=0.00321625, r_fer1=0, r_aus2=0.00148746, r_fer2=0
 1200: t=0.060, cavg*=0.997825, r_mart=0.145985, r_aus1=0.00321679, r_fer1=0, r_aus2=0.00149276, r_fer2=0
 1220: t=0.061, cavg*=0.9978, r_mart=0.145983, r_aus1=0.00321733, r_fer1=0, r_aus2=0.00149804, r_fer2=0
 1240: t=0.062, cavg*=0.997775, r_mart=0.14598, r_aus1=0.00321786, r_fer1=0, r_aus2=0.00150331, r_fer2=0
 1260: t=0.063, cavg*=0.99775, r_mart=0.145978, r_aus1=0.0032184, r_fer1=0, r_aus2=0.00150856, r_fer2=0
 1280: t=0.064, cavg*=0.997726, r_mart=0.145976, r_aus1=0.00321893, r_fer1=0, r_aus2=0.00151379, r_fer2=0
 1300: t=0.065, cavg*=0.997702, r_mart=0.145974, r_aus1=0.00321946, r_fer1=0, r_aus2=0.00151901, r_fer2=0
 1320: t=0.066, cavg*=0.997678, r_mart=0.145973, r_aus1=0.00321999, r_fer1=0, r_aus2=0.00152421, r_fer2=0
 1340: t=0.067, cavg*=0.997655, r_mart=0.145971, r_aus1=0.00322052, r_fer1=0, r_aus2=0.00152939, r_fer2=0
 1360: t=0.068, cavg*=0.997631, r_mart=0.145969, r_aus1=0.00322104, r_fer1=0, r_aus2=0.00153456, r_fer2=0
 1380: t=0.069, cavg*=0.997608, r_mart=0.145967, r_aus1=0.00322156, r_fer1=0, r_aus2=0.00153971, r_fer2=0
 1400: t=0.070, cavg*=0.997586, r_mart=0.145966, r_aus1=0.00322209, r_fer1=0, r_aus2=0.00154485, r_fer2=0
 1420: t=0.071, cavg*=0.997563, r_mart=0.145964, r_aus1=0.00322261, r_fer1=0, r_aus2=0.00154997, r_fer2=0
 1440: t=0.072, cavg*=0.997541, r_mart=0.145963, r_aus1=0.00322312, r_fer1=0, r_aus2=0.00155507, r_fer2=0
 1460: t=0.073, cavg*=0.997519, r_mart=0.145961, r_aus1=0.00322364, r_fer1=0, r_aus2=0.00156015, r_fer2=0
 1480: t=0.074, cavg*=0.997497, r_mart=0.14596, r_aus1=0.00322415, r_fer1=0, r_aus2=0.00156522, r_fer2=0
 1500: t=0.075, cavg*=0.997476, r_mart=0.145958, r_aus1=0.00322467, r_fer1=0, r_aus2=0.00157027, r_fer2=0
