mart_FoFo_mu16e3.log @ arthur-ltf
2018-06-22T21:08:42

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 2198

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  480: t=141.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  482: t=142.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  484: t=143.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  486: t=144.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  488: t=145.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  490: t=146.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  492: t=147.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  494: t=148.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  496: t=149.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  498: t=150.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  500: t=151.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  502: t=152.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  504: t=153.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  506: t=154.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  508: t=155.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  510: t=156.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  512: t=157.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  514: t=158.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  516: t=159.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  518: t=160.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  520: t=161.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  522: t=162.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  524: t=163.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  526: t=164.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  528: t=165.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  530: t=166.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  532: t=167.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  534: t=168.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  536: t=169.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  538: t=170.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  540: t=171.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  542: t=172.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  544: t=173.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  546: t=174.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  548: t=175.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  550: t=176.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  552: t=177.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  554: t=178.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  556: t=179.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  558: t=180.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  560: t=181.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  562: t=182.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  564: t=183.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  566: t=184.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  568: t=185.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  570: t=186.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  572: t=187.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  574: t=188.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  576: t=189.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  578: t=190.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  580: t=191.000, cavg*=1, r_mart=218.176, r_aust=1.57066
