coupled_FoFo_375_CCEpara.log @ arthur-tud
2019-07-15T12:37:32

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 74000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

12400: t=0.620, cavg*=1.01188, r_mart=0.157975, r_aus1=0.198987, r_fer1=0, r_aus2=0.00106049, r_fer2=0
12600: t=0.630, cavg*=1.01188, r_mart=0.158058, r_aus1=0.199034, r_fer1=0, r_aus2=0.00106374, r_fer2=0
12800: t=0.640, cavg*=1.01189, r_mart=0.15814, r_aus1=0.19908, r_fer1=0, r_aus2=0.00106697, r_fer2=0
13000: t=0.650, cavg*=1.01189, r_mart=0.158222, r_aus1=0.199127, r_fer1=0, r_aus2=0.00107018, r_fer2=0
13200: t=0.660, cavg*=1.01189, r_mart=0.158304, r_aus1=0.199173, r_fer1=0, r_aus2=0.00107336, r_fer2=0
13400: t=0.670, cavg*=1.01189, r_mart=0.158386, r_aus1=0.19922, r_fer1=0, r_aus2=0.00107652, r_fer2=0
13600: t=0.680, cavg*=1.0119, r_mart=0.158467, r_aus1=0.199266, r_fer1=0, r_aus2=0.00107966, r_fer2=0
13800: t=0.690, cavg*=1.0119, r_mart=0.158549, r_aus1=0.199312, r_fer1=0, r_aus2=0.00108277, r_fer2=0
14000: t=0.700, cavg*=1.0119, r_mart=0.158631, r_aus1=0.199358, r_fer1=0, r_aus2=0.00108587, r_fer2=0
14200: t=0.710, cavg*=1.0119, r_mart=0.158712, r_aus1=0.199404, r_fer1=0, r_aus2=0.00108895, r_fer2=0
14400: t=0.720, cavg*=1.0119, r_mart=0.158793, r_aus1=0.19945, r_fer1=0, r_aus2=0.00109201, r_fer2=0
14600: t=0.730, cavg*=1.01191, r_mart=0.158874, r_aus1=0.199496, r_fer1=0, r_aus2=0.00109505, r_fer2=0
14800: t=0.740, cavg*=1.01191, r_mart=0.158955, r_aus1=0.199542, r_fer1=0, r_aus2=0.00109807, r_fer2=0
15000: t=0.750, cavg*=1.01191, r_mart=0.159035, r_aus1=0.199588, r_fer1=0, r_aus2=0.00110107, r_fer2=0
15200: t=0.760, cavg*=1.01191, r_mart=0.159116, r_aus1=0.199633, r_fer1=0, r_aus2=0.00110406, r_fer2=0
15400: t=0.770, cavg*=1.01191, r_mart=0.159196, r_aus1=0.199679, r_fer1=0, r_aus2=0.00110702, r_fer2=0
15600: t=0.780, cavg*=1.01192, r_mart=0.159276, r_aus1=0.199725, r_fer1=0, r_aus2=0.00110997, r_fer2=0
15800: t=0.790, cavg*=1.01192, r_mart=0.159356, r_aus1=0.19977, r_fer1=0, r_aus2=0.0011129, r_fer2=0
16000: t=0.800, cavg*=1.01192, r_mart=0.159436, r_aus1=0.199816, r_fer1=0, r_aus2=0.00111582, r_fer2=0
16200: t=0.810, cavg*=1.01192, r_mart=0.159515, r_aus1=0.199861, r_fer1=0, r_aus2=0.00111872, r_fer2=0
16400: t=0.820, cavg*=1.01192, r_mart=0.159594, r_aus1=0.199906, r_fer1=0, r_aus2=0.0011216, r_fer2=0
16600: t=0.830, cavg*=1.01193, r_mart=0.159673, r_aus1=0.199952, r_fer1=0, r_aus2=0.00112447, r_fer2=0
16800: t=0.840, cavg*=1.01193, r_mart=0.159752, r_aus1=0.199997, r_fer1=0, r_aus2=0.00112732, r_fer2=0
17000: t=0.850, cavg*=1.01193, r_mart=0.159831, r_aus1=0.200042, r_fer1=0, r_aus2=0.00113016, r_fer2=0
17200: t=0.860, cavg*=1.01193, r_mart=0.159909, r_aus1=0.200087, r_fer1=0, r_aus2=0.00113298, r_fer2=0
17400: t=0.870, cavg*=1.01193, r_mart=0.159987, r_aus1=0.200132, r_fer1=0, r_aus2=0.00113579, r_fer2=0
17600: t=0.880, cavg*=1.01194, r_mart=0.160065, r_aus1=0.200177, r_fer1=0, r_aus2=0.00113858, r_fer2=0
17800: t=0.890, cavg*=1.01194, r_mart=0.160143, r_aus1=0.200222, r_fer1=0, r_aus2=0.00114136, r_fer2=0
18000: t=0.900, cavg*=1.01194, r_mart=0.16022, r_aus1=0.200267, r_fer1=0, r_aus2=0.00114412, r_fer2=0
18200: t=0.910, cavg*=1.01194, r_mart=0.160298, r_aus1=0.200312, r_fer1=0, r_aus2=0.00114688, r_fer2=0
18400: t=0.920, cavg*=1.01194, r_mart=0.160375, r_aus1=0.200356, r_fer1=0, r_aus2=0.00114962, r_fer2=0
18600: t=0.930, cavg*=1.01194, r_mart=0.160451, r_aus1=0.200401, r_fer1=0, r_aus2=0.00115234, r_fer2=0
18800: t=0.940, cavg*=1.01194, r_mart=0.160528, r_aus1=0.200446, r_fer1=0, r_aus2=0.00115506, r_fer2=0
19000: t=0.950, cavg*=1.01195, r_mart=0.160604, r_aus1=0.20049, r_fer1=0, r_aus2=0.00115776, r_fer2=0
19200: t=0.960, cavg*=1.01195, r_mart=0.16068, r_aus1=0.200535, r_fer1=0, r_aus2=0.00116045, r_fer2=0
19400: t=0.970, cavg*=1.01195, r_mart=0.160756, r_aus1=0.200579, r_fer1=0, r_aus2=0.00116312, r_fer2=0
19600: t=0.980, cavg*=1.01195, r_mart=0.160832, r_aus1=0.200623, r_fer1=0, r_aus2=0.00116579, r_fer2=0
19800: t=0.990, cavg*=1.01195, r_mart=0.160907, r_aus1=0.200668, r_fer1=0, r_aus2=0.00116844, r_fer2=0
20000: t=1.000, cavg*=1.01195, r_mart=0.160983, r_aus1=0.200712, r_fer1=0, r_aus2=0.00117108, r_fer2=0
20200: t=1.100, cavg*=1.01196, r_mart=1.6172, r_aus1=2.0115, r_fer1=0, r_aus2=0.0119601, r_fer2=0
20400: t=1.200, cavg*=1.01196, r_mart=1.62438, r_aus1=2.01586, r_fer1=0, r_aus2=0.0122065, r_fer2=0
20600: t=1.300, cavg*=1.01199, r_mart=1.63037, r_aus1=1.98187, r_fer1=0, r_aus2=0.0124449, r_fer2=0
20800: t=1.400, cavg*=1.01221, r_mart=1.63059, r_aus1=1.73604, r_fer1=0, r_aus2=0.0126758, r_fer2=0
21000: t=1.500, cavg*=1.0124, r_mart=1.63079, r_aus1=1.52183, r_fer1=0, r_aus2=0.0129001, r_fer2=0
