mart_FoFo_mu23e3.log @ arthur-ltf
2018-06-17T07:07:29

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

 9000: t=449.972, cavg*=1.00028, r_mart=24.5509, r_aust=0.684511
 9100: t=454.973, cavg*=1.00036, r_mart=24.5509, r_aust=0.673212
 9200: t=459.973, cavg*=1.00043, r_mart=24.5509, r_aust=0.663076
 9300: t=464.973, cavg*=1.00049, r_mart=24.551, r_aust=0.653893
 9400: t=469.973, cavg*=1.00054, r_mart=24.551, r_aust=0.645509
 9500: t=474.974, cavg*=1.00059, r_mart=24.551, r_aust=0.637809
 9600: t=479.974, cavg*=1.00064, r_mart=24.5511, r_aust=0.630699
 9700: t=484.974, cavg*=1.00069, r_mart=24.5511, r_aust=0.624106
 9800: t=489.974, cavg*=1.00073, r_mart=24.5511, r_aust=0.617971
 9900: t=494.975, cavg*=1.00077, r_mart=24.5511, r_aust=0.612244
10000: t=499.975, cavg*=1.0008, r_mart=24.5512, r_aust=0.606886
10100: t=504.975, cavg*=1.00084, r_mart=24.5512, r_aust=0.60186
10200: t=509.975, cavg*=1.00087, r_mart=24.5512, r_aust=0.597136
10300: t=514.976, cavg*=1.0009, r_mart=24.5512, r_aust=0.592691
10400: t=519.976, cavg*=1.00093, r_mart=24.5512, r_aust=0.5885
10500: t=524.976, cavg*=1.00095, r_mart=24.5513, r_aust=0.584545
10600: t=529.976, cavg*=1.00098, r_mart=24.5513, r_aust=0.58081
10700: t=534.977, cavg*=1.001, r_mart=24.5513, r_aust=0.577278
10800: t=539.977, cavg*=1.00102, r_mart=24.5513, r_aust=0.573935
10900: t=544.977, cavg*=1.00105, r_mart=24.5513, r_aust=0.570769
11000: t=549.977, cavg*=1.00107, r_mart=24.5513, r_aust=0.567769
11100: t=554.978, cavg*=1.00109, r_mart=24.5513, r_aust=0.564925
11200: t=559.978, cavg*=1.0011, r_mart=24.5514, r_aust=0.562228
11300: t=564.978, cavg*=1.00112, r_mart=24.5514, r_aust=0.559669
11400: t=569.978, cavg*=1.00114, r_mart=24.5514, r_aust=0.557241
11500: t=574.979, cavg*=1.00115, r_mart=24.5514, r_aust=0.554936
11600: t=579.979, cavg*=1.00117, r_mart=24.5514, r_aust=0.552747
11700: t=584.979, cavg*=1.00118, r_mart=24.5514, r_aust=0.550667
11800: t=589.979, cavg*=1.0012, r_mart=24.5514, r_aust=0.548692
11900: t=594.980, cavg*=1.00121, r_mart=24.5514, r_aust=0.546815
12000: t=599.980, cavg*=1.00122, r_mart=24.5514, r_aust=0.545032
12100: t=604.980, cavg*=1.00123, r_mart=24.5514, r_aust=0.543338
12200: t=609.980, cavg*=1.00124, r_mart=24.5514, r_aust=0.541727
12300: t=614.981, cavg*=1.00125, r_mart=24.5514, r_aust=0.540196
12400: t=619.981, cavg*=1.00126, r_mart=24.5515, r_aust=0.538741
12500: t=624.981, cavg*=1.00127, r_mart=24.5515, r_aust=0.537358
12600: t=629.981, cavg*=1.00128, r_mart=24.5515, r_aust=0.536043
12700: t=634.982, cavg*=1.00129, r_mart=24.5515, r_aust=0.534793
12800: t=639.982, cavg*=1.0013, r_mart=24.5515, r_aust=0.533605
12900: t=644.982, cavg*=1.00131, r_mart=24.5515, r_aust=0.532475
13000: t=649.982, cavg*=1.00131, r_mart=24.5515, r_aust=0.531401
13100: t=654.983, cavg*=1.00132, r_mart=24.5515, r_aust=0.530379
13200: t=659.983, cavg*=1.00133, r_mart=24.5515, r_aust=0.529408
13300: t=664.983, cavg*=1.00133, r_mart=24.5515, r_aust=0.528485
13400: t=669.983, cavg*=1.00134, r_mart=24.5515, r_aust=0.527607
13500: t=674.984, cavg*=1.00135, r_mart=24.5515, r_aust=0.526772
13600: t=679.984, cavg*=1.00135, r_mart=24.5515, r_aust=0.525978
13700: t=684.984, cavg*=1.00136, r_mart=24.5515, r_aust=0.525223
13800: t=689.984, cavg*=1.00136, r_mart=24.5515, r_aust=0.524506
13900: t=694.985, cavg*=1.00137, r_mart=24.5515, r_aust=0.523823
14000: t=699.985, cavg*=1.00137, r_mart=24.5515, r_aust=0.523174
14100: t=704.985, cavg*=1.00137, r_mart=24.5515, r_aust=0.522557
14200: t=709.985, cavg*=1.00138, r_mart=24.5515, r_aust=0.52197
14300: t=714.986, cavg*=1.00138, r_mart=24.5515, r_aust=0.521412
14400: t=719.986, cavg*=1.00139, r_mart=24.5515, r_aust=0.520881
14500: t=724.986, cavg*=1.00139, r_mart=24.5515, r_aust=0.520377
14600: t=729.986, cavg*=1.00139, r_mart=24.5515, r_aust=0.519897
14700: t=734.987, cavg*=1.0014, r_mart=24.5515, r_aust=0.519441
14800: t=739.987, cavg*=1.0014, r_mart=24.5515, r_aust=0.519007
14900: t=744.987, cavg*=1.0014, r_mart=24.5515, r_aust=0.518594
15000: t=749.987, cavg*=1.0014, r_mart=24.5515, r_aust=0.518202
15100: t=754.988, cavg*=1.00141, r_mart=24.5515, r_aust=0.517829
15200: t=759.988, cavg*=1.00141, r_mart=24.5515, r_aust=0.517474
15300: t=764.988, cavg*=1.00141, r_mart=24.5515, r_aust=0.517137
15400: t=769.988, cavg*=1.00141, r_mart=24.5515, r_aust=0.516816
15500: t=774.989, cavg*=1.00142, r_mart=24.5515, r_aust=0.516511
15600: t=779.989, cavg*=1.00142, r_mart=24.5516, r_aust=0.516221
15700: t=784.989, cavg*=1.00142, r_mart=24.5516, r_aust=0.515945
15800: t=789.989, cavg*=1.00142, r_mart=24.5516, r_aust=0.515683
15900: t=794.990, cavg*=1.00142, r_mart=24.5516, r_aust=0.515433
16000: t=799.990, cavg*=1.00142, r_mart=24.5516, r_aust=0.515196
16100: t=804.990, cavg*=1.00143, r_mart=24.5516, r_aust=0.514971
16200: t=809.990, cavg*=1.00143, r_mart=24.5516, r_aust=0.514756
16300: t=814.991, cavg*=1.00143, r_mart=24.5516, r_aust=0.514552
16400: t=819.991, cavg*=1.00143, r_mart=24.5516, r_aust=0.514358
16500: t=824.991, cavg*=1.00143, r_mart=24.5516, r_aust=0.514174
16600: t=829.991, cavg*=1.00143, r_mart=24.5516, r_aust=0.513999
16700: t=834.992, cavg*=1.00143, r_mart=24.5516, r_aust=0.513832
16800: t=839.992, cavg*=1.00143, r_mart=24.5516, r_aust=0.513673
16900: t=844.992, cavg*=1.00144, r_mart=24.5516, r_aust=0.513523
17000: t=849.992, cavg*=1.00144, r_mart=24.5516, r_aust=0.513379
17100: t=854.993, cavg*=1.00144, r_mart=24.5516, r_aust=0.513243
17200: t=859.993, cavg*=1.00144, r_mart=24.5516, r_aust=0.513113
