coupled_FoFo_375_mu20e3.log @ arthur-tud
2019-07-15T12:50:35

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 38000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 1020: t=0.510, cavg*=0.998635, r_mart=1.45417, r_aus1=0.0138473, r_fer1=0, r_aus2=0.00963394, r_fer2=0
 1040: t=0.520, cavg*=0.998628, r_mart=1.45418, r_aus1=0.0138508, r_fer1=0, r_aus2=0.0096734, r_fer2=0
 1060: t=0.530, cavg*=0.998622, r_mart=1.4542, r_aus1=0.0138543, r_fer1=0, r_aus2=0.00971249, r_fer2=0
 1080: t=0.540, cavg*=0.998616, r_mart=1.45421, r_aus1=0.0138577, r_fer1=0, r_aus2=0.00975122, r_fer2=0
 1100: t=0.550, cavg*=0.99861, r_mart=1.45423, r_aus1=0.0138612, r_fer1=0, r_aus2=0.0097896, r_fer2=0
 1120: t=0.560, cavg*=0.998604, r_mart=1.45424, r_aus1=0.0138646, r_fer1=0, r_aus2=0.00982765, r_fer2=0
 1140: t=0.570, cavg*=0.998598, r_mart=1.45425, r_aus1=0.013868, r_fer1=0, r_aus2=0.00986537, r_fer2=0
 1160: t=0.580, cavg*=0.998592, r_mart=1.45427, r_aus1=0.0138715, r_fer1=0, r_aus2=0.00990276, r_fer2=0
 1180: t=0.590, cavg*=0.998586, r_mart=1.45428, r_aus1=0.0138749, r_fer1=0, r_aus2=0.00993985, r_fer2=0
 1200: t=0.600, cavg*=0.998581, r_mart=1.4543, r_aus1=0.0138783, r_fer1=0, r_aus2=0.00997664, r_fer2=0
 1220: t=0.610, cavg*=0.998575, r_mart=1.45431, r_aus1=0.0138817, r_fer1=0, r_aus2=0.0100132, r_fer2=0
 1240: t=0.620, cavg*=0.99857, r_mart=1.45433, r_aus1=0.0138851, r_fer1=0, r_aus2=0.0100494, r_fer2=0
 1260: t=0.630, cavg*=0.998564, r_mart=1.45434, r_aus1=0.0138885, r_fer1=0, r_aus2=0.0100854, r_fer2=0
 1280: t=0.640, cavg*=0.998559, r_mart=1.45436, r_aus1=0.0138919, r_fer1=0, r_aus2=0.010121, r_fer2=0
