mart_FoFo_CCE.log @ arthur-ltf
2018-06-23T07:13:19

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 416000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 0 (fixed.balance)

56400: t=10.200, cavg*=1, r_mart=1.63019, r_aust=0.126017
56600: t=10.300, cavg*=1, r_mart=1.63019, r_aust=0.125188
56800: t=10.400, cavg*=1, r_mart=1.63019, r_aust=0.124373
57000: t=10.500, cavg*=1, r_mart=1.63019, r_aust=0.123572
57200: t=10.600, cavg*=1, r_mart=1.63019, r_aust=0.122786
57400: t=10.700, cavg*=1, r_mart=1.63019, r_aust=0.122013
57600: t=10.800, cavg*=1, r_mart=1.63019, r_aust=0.121253
57800: t=10.900, cavg*=1, r_mart=1.63019, r_aust=0.120506
58000: t=11.000, cavg*=1, r_mart=1.63019, r_aust=0.119772
58200: t=11.100, cavg*=1, r_mart=1.63019, r_aust=0.119049
58400: t=11.200, cavg*=1, r_mart=1.63019, r_aust=0.118339
58600: t=11.300, cavg*=1, r_mart=1.63019, r_aust=0.11764
58800: t=11.400, cavg*=1, r_mart=1.63019, r_aust=0.116953
59000: t=11.500, cavg*=1, r_mart=1.63019, r_aust=0.116276
59200: t=11.600, cavg*=1, r_mart=1.63019, r_aust=0.11561
59400: t=11.700, cavg*=1, r_mart=1.63019, r_aust=0.114955
59600: t=11.800, cavg*=1, r_mart=1.63019, r_aust=0.11431
59800: t=11.900, cavg*=1, r_mart=1.63019, r_aust=0.113674
60000: t=12.000, cavg*=1, r_mart=1.63019, r_aust=0.113048
60200: t=12.100, cavg*=1, r_mart=1.63019, r_aust=0.112432
60400: t=12.200, cavg*=1, r_mart=1.63019, r_aust=0.111825
60600: t=12.300, cavg*=1, r_mart=1.63019, r_aust=0.111227
60800: t=12.400, cavg*=1, r_mart=1.63019, r_aust=0.110638
61000: t=12.500, cavg*=1, r_mart=1.63019, r_aust=0.110058
61200: t=12.600, cavg*=1, r_mart=1.63019, r_aust=0.109485
61400: t=12.700, cavg*=1, r_mart=1.63019, r_aust=0.108921
61600: t=12.800, cavg*=1, r_mart=1.63019, r_aust=0.108365
61800: t=12.900, cavg*=1, r_mart=1.63019, r_aust=0.107817
62000: t=13.000, cavg*=1, r_mart=1.63019, r_aust=0.107277
62200: t=13.100, cavg*=1, r_mart=1.63019, r_aust=0.106744
62400: t=13.200, cavg*=1, r_mart=1.63019, r_aust=0.106218
62600: t=13.300, cavg*=1, r_mart=1.63019, r_aust=0.105699
62800: t=13.400, cavg*=1, r_mart=1.63019, r_aust=0.105188
63000: t=13.500, cavg*=1, r_mart=1.63019, r_aust=0.104683
63200: t=13.600, cavg*=1, r_mart=1.63019, r_aust=0.104185
63400: t=13.700, cavg*=1, r_mart=1.63019, r_aust=0.103694
63600: t=13.800, cavg*=1, r_mart=1.63019, r_aust=0.103209
63800: t=13.900, cavg*=1, r_mart=1.63019, r_aust=0.10273
64000: t=14.000, cavg*=1, r_mart=1.63019, r_aust=0.102257
64200: t=14.100, cavg*=1, r_mart=1.63019, r_aust=0.101791
64400: t=14.200, cavg*=1, r_mart=1.63019, r_aust=0.10133
64600: t=14.300, cavg*=1, r_mart=1.63019, r_aust=0.100876
64800: t=14.400, cavg*=1, r_mart=1.63019, r_aust=0.100427
65000: t=14.500, cavg*=1, r_mart=1.63019, r_aust=0.0999832
65200: t=14.600, cavg*=1, r_mart=1.63019, r_aust=0.0995451
65400: t=14.700, cavg*=1, r_mart=1.63019, r_aust=0.0991125
65600: t=14.800, cavg*=1, r_mart=1.63019, r_aust=0.098685
65800: t=14.900, cavg*=1, r_mart=1.63019, r_aust=0.0982627
66000: t=15.000, cavg*=1, r_mart=1.63019, r_aust=0.0978455
66200: t=15.100, cavg*=1, r_mart=1.63019, r_aust=0.0974333
66400: t=15.200, cavg*=1, r_mart=1.63019, r_aust=0.0970259
66600: t=15.300, cavg*=1, r_mart=1.63019, r_aust=0.0966232
66800: t=15.400, cavg*=1, r_mart=1.63019, r_aust=0.0962253
67000: t=15.500, cavg*=1, r_mart=1.63019, r_aust=0.095832
67200: t=15.600, cavg*=1, r_mart=1.63019, r_aust=0.0954431
67400: t=15.700, cavg*=1, r_mart=1.63019, r_aust=0.0950587
67600: t=15.800, cavg*=1, r_mart=1.63019, r_aust=0.0946786
67800: t=15.900, cavg*=1, r_mart=1.63019, r_aust=0.0943028
68000: t=16.000, cavg*=1, r_mart=1.63019, r_aust=0.0939312
68200: t=16.100, cavg*=1, r_mart=1.63019, r_aust=0.0935637
68400: t=16.200, cavg*=1, r_mart=1.63019, r_aust=0.0932002
68600: t=16.300, cavg*=1, r_mart=1.63019, r_aust=0.0928408
68800: t=16.400, cavg*=1, r_mart=1.63019, r_aust=0.0924853
69000: t=16.500, cavg*=1, r_mart=1.63019, r_aust=0.0921336
69200: t=16.600, cavg*=1, r_mart=1.63019, r_aust=0.0917857
69400: t=16.700, cavg*=1, r_mart=1.63019, r_aust=0.0914414
69600: t=16.800, cavg*=1, r_mart=1.63019, r_aust=0.0911009
69800: t=16.900, cavg*=1, r_mart=1.63019, r_aust=0.0907639
70000: t=17.000, cavg*=1, r_mart=1.63019, r_aust=0.0904304
70200: t=17.100, cavg*=1, r_mart=1.63019, r_aust=0.0901004
70400: t=17.200, cavg*=1, r_mart=1.63019, r_aust=0.0897738
70600: t=17.300, cavg*=1, r_mart=1.63019, r_aust=0.0894505
70800: t=17.400, cavg*=1, r_mart=1.63019, r_aust=0.0891305
71000: t=17.500, cavg*=1, r_mart=1.63019, r_aust=0.0888138
71200: t=17.600, cavg*=1, r_mart=1.63019, r_aust=0.0885003
71400: t=17.700, cavg*=1, r_mart=1.63019, r_aust=0.08819
71600: t=17.800, cavg*=1, r_mart=1.63019, r_aust=0.0878827
