mart_FoFo_mu20e3.log @ arthur-laptop
2018-06-24T21:30:11

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 10000.0 [s]; n_time = 48800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

24400: t=680.000, cavg*=0.998932, r_mart=23.0457, r_aust=0.341359
24600: t=690.000, cavg*=0.998932, r_mart=23.0541, r_aust=0.341359
24800: t=700.000, cavg*=0.998932, r_mart=23.0623, r_aust=0.341359
25000: t=710.000, cavg*=0.998932, r_mart=23.0705, r_aust=0.341359
25200: t=720.000, cavg*=0.998931, r_mart=23.0786, r_aust=0.341359
25400: t=730.000, cavg*=0.998931, r_mart=23.0865, r_aust=0.341359
25600: t=740.000, cavg*=0.998931, r_mart=23.0944, r_aust=0.341359
25800: t=750.000, cavg*=0.998931, r_mart=23.1021, r_aust=0.341359
26000: t=760.000, cavg*=0.998931, r_mart=23.1098, r_aust=0.341359
26200: t=770.000, cavg*=0.99893, r_mart=23.1174, r_aust=0.341359
26400: t=780.000, cavg*=0.99893, r_mart=23.1249, r_aust=0.341359
26600: t=790.000, cavg*=0.99893, r_mart=23.1323, r_aust=0.341359
26800: t=800.000, cavg*=0.99893, r_mart=23.1396, r_aust=0.341359
27000: t=810.000, cavg*=0.99893, r_mart=23.1468, r_aust=0.341359
27200: t=820.000, cavg*=0.99893, r_mart=23.1539, r_aust=0.341359
27400: t=830.000, cavg*=0.998929, r_mart=23.161, r_aust=0.341359
27600: t=840.000, cavg*=0.998929, r_mart=23.1679, r_aust=0.341359
27800: t=850.000, cavg*=0.998929, r_mart=23.1748, r_aust=0.341359
28000: t=860.000, cavg*=0.998929, r_mart=23.1816, r_aust=0.341359
28200: t=870.000, cavg*=0.998929, r_mart=23.1882, r_aust=0.341359
28400: t=880.000, cavg*=0.998929, r_mart=23.1948, r_aust=0.341359
28600: t=890.000, cavg*=0.998928, r_mart=23.2014, r_aust=0.341359
28800: t=900.000, cavg*=0.998928, r_mart=23.2078, r_aust=0.341359
29000: t=910.000, cavg*=0.998928, r_mart=23.2142, r_aust=0.341359
29200: t=920.000, cavg*=0.998928, r_mart=23.2204, r_aust=0.341359
29400: t=930.000, cavg*=0.998928, r_mart=23.2266, r_aust=0.341359
29600: t=940.000, cavg*=0.998928, r_mart=23.2327, r_aust=0.341359
29800: t=950.000, cavg*=0.998927, r_mart=23.2387, r_aust=0.341359
30000: t=960.000, cavg*=0.998927, r_mart=23.2447, r_aust=0.341359
30200: t=970.000, cavg*=0.998927, r_mart=23.2506, r_aust=0.341359
30400: t=980.000, cavg*=0.998927, r_mart=23.2563, r_aust=0.341359
30600: t=990.000, cavg*=0.998927, r_mart=23.2621, r_aust=0.341359
30800: t=1000.000, cavg*=0.998927, r_mart=23.2677, r_aust=0.341359
31000: t=1100.000, cavg*=0.99892, r_mart=233.198, r_aust=3.41359
31200: t=1200.000, cavg*=0.998914, r_mart=233.653, r_aust=3.41359
31400: t=1300.000, cavg*=0.998909, r_mart=234.047, r_aust=3.41359
31600: t=1400.000, cavg*=0.998905, r_mart=234.387, r_aust=3.41359
31800: t=1500.000, cavg*=0.998901, r_mart=234.679, r_aust=3.41359
32000: t=1600.000, cavg*=0.998897, r_mart=234.929, r_aust=3.41359
32200: t=1700.000, cavg*=0.998894, r_mart=235.143, r_aust=3.41359
32400: t=1800.000, cavg*=0.998891, r_mart=235.325, r_aust=3.41359
32600: t=1900.000, cavg*=0.998889, r_mart=235.48, r_aust=3.41359
32800: t=2000.000, cavg*=0.998887, r_mart=235.612, r_aust=3.41359
33000: t=2100.000, cavg*=0.998885, r_mart=235.724, r_aust=3.41359
33200: t=2200.000, cavg*=0.998884, r_mart=235.819, r_aust=3.41359
33400: t=2300.000, cavg*=0.998883, r_mart=235.899, r_aust=3.41359
33600: t=2400.000, cavg*=0.998882, r_mart=235.967, r_aust=3.41359
33800: t=2500.000, cavg*=0.998881, r_mart=236.025, r_aust=3.41359
34000: t=2600.000, cavg*=0.99888, r_mart=236.074, r_aust=3.41359
34200: t=2700.000, cavg*=0.99888, r_mart=236.115, r_aust=3.41359
34400: t=2800.000, cavg*=0.998879, r_mart=236.149, r_aust=3.41359
34600: t=2900.000, cavg*=0.998879, r_mart=236.178, r_aust=3.41359
34800: t=3000.000, cavg*=0.998878, r_mart=236.203, r_aust=3.41359
35000: t=3100.000, cavg*=0.998878, r_mart=236.224, r_aust=3.41359
35200: t=3200.000, cavg*=0.998878, r_mart=236.241, r_aust=3.41359
35400: t=3300.000, cavg*=0.998877, r_mart=236.256, r_aust=3.41359
35600: t=3400.000, cavg*=0.998877, r_mart=236.269, r_aust=3.41359
35800: t=3500.000, cavg*=0.998877, r_mart=236.279, r_aust=3.41359
36000: t=3600.000, cavg*=0.998877, r_mart=236.288, r_aust=3.41359
36200: t=3700.000, cavg*=0.998877, r_mart=236.295, r_aust=3.41359
36400: t=3800.000, cavg*=0.998877, r_mart=236.302, r_aust=3.41359
36600: t=3900.000, cavg*=0.998877, r_mart=236.307, r_aust=3.41359
36800: t=4000.000, cavg*=0.998877, r_mart=236.311, r_aust=3.41359
37000: t=4100.000, cavg*=0.998876, r_mart=236.315, r_aust=3.41359
37200: t=4200.000, cavg*=0.998876, r_mart=236.318, r_aust=3.41359
37400: t=4300.000, cavg*=0.998876, r_mart=236.321, r_aust=3.41359
37600: t=4400.000, cavg*=0.998876, r_mart=236.323, r_aust=3.41359
37800: t=4500.000, cavg*=0.998876, r_mart=236.325, r_aust=3.41359
38000: t=4600.000, cavg*=0.998876, r_mart=236.327, r_aust=3.41359
38200: t=4700.000, cavg*=0.998876, r_mart=236.328, r_aust=3.41359
38400: t=4800.000, cavg*=0.998876, r_mart=236.329, r_aust=3.41359
38600: t=4900.000, cavg*=0.998876, r_mart=236.33, r_aust=3.41359
38800: t=5000.000, cavg*=0.998876, r_mart=236.331, r_aust=3.41359
39000: t=5100.000, cavg*=0.998876, r_mart=236.332, r_aust=3.41359
39200: t=5200.000, cavg*=0.998876, r_mart=236.332, r_aust=3.41359
39400: t=5300.000, cavg*=0.998876, r_mart=236.333, r_aust=3.41359
39600: t=5400.000, cavg*=0.998876, r_mart=236.333, r_aust=3.41359
39800: t=5500.000, cavg*=0.998876, r_mart=236.333, r_aust=3.41359
40000: t=5600.000, cavg*=0.998876, r_mart=236.334, r_aust=3.41359
40200: t=5700.000, cavg*=0.998876, r_mart=236.334, r_aust=3.41359
40400: t=5800.000, cavg*=0.998876, r_mart=236.334, r_aust=3.41359
40600: t=5900.000, cavg*=0.998876, r_mart=236.334, r_aust=3.41359
40800: t=6000.000, cavg*=0.998876, r_mart=236.334, r_aust=3.41359
41000: t=6100.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
41200: t=6200.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
41400: t=6300.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
41600: t=6400.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
41800: t=6500.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
42000: t=6600.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
42200: t=6700.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
42400: t=6800.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
42600: t=6900.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
42800: t=7000.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
43000: t=7100.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
43200: t=7200.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
43400: t=7300.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
43600: t=7400.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
43800: t=7500.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
44000: t=7600.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
44200: t=7700.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
44400: t=7800.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
44600: t=7900.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
44800: t=8000.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
45000: t=8100.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
45200: t=8200.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
45400: t=8300.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
45600: t=8400.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
45800: t=8500.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
46000: t=8600.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
46200: t=8700.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
46400: t=8800.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
46600: t=8900.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
46800: t=9000.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
47000: t=9100.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
47200: t=9200.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
47400: t=9300.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
47600: t=9400.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
47800: t=9500.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
48000: t=9600.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
48200: t=9700.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
48400: t=9800.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
48600: t=9900.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
48800: t=10000.000, cavg*=0.998876, r_mart=236.335, r_aust=3.41359
Time elapsed: 63.94 s

