t mart aust
1.245062e+01 1.164723e-04 5.974236e-02
1.250063e+01 1.162932e-04 5.974272e-02
1.255063e+01 1.161153e-04 5.974306e-02
1.260063e+01 1.159384e-04 5.974341e-02
1.265063e+01 1.157625e-04 5.974375e-02
1.270064e+01 1.155877e-04 5.974409e-02
1.275064e+01 1.154139e-04 5.974442e-02
1.280064e+01 1.152411e-04 5.974475e-02
1.285064e+01 1.150694e-04 5.974508e-02
1.290065e+01 1.148986e-04 5.974540e-02
1.295065e+01 1.147288e-04 5.974572e-02
1.300065e+01 1.145600e-04 5.974604e-02
1.305065e+01 1.143921e-04 5.974636e-02
1.310066e+01 1.142251e-04 5.974667e-02
1.315066e+01 1.140590e-04 5.974698e-02
1.320066e+01 1.138938e-04 5.974728e-02
1.325066e+01 1.137294e-04 5.974758e-02
1.330067e+01 1.135660e-04 5.974788e-02
1.335067e+01 1.134035e-04 5.974818e-02
1.340067e+01 1.132419e-04 5.974847e-02
1.345067e+01 1.130811e-04 5.974876e-02
1.350068e+01 1.129212e-04 5.974905e-02
1.355068e+01 1.127622e-04 5.974933e-02
1.360068e+01 1.126041e-04 5.974961e-02
1.365068e+01 1.124468e-04 5.974989e-02
1.370069e+01 1.122904e-04 5.975017e-02
1.375069e+01 1.121349e-04 5.975044e-02
1.380069e+01 1.119802e-04 5.975071e-02
1.385069e+01 1.118263e-04 5.975098e-02
1.390070e+01 1.116732e-04 5.975124e-02
1.395070e+01 1.115210e-04 5.975150e-02
1.400070e+01 1.113696e-04 5.975176e-02
1.405070e+01 1.112189e-04 5.975202e-02
1.410071e+01 1.110690e-04 5.975228e-02
1.415071e+01 1.109199e-04 5.975253e-02
1.420071e+01 1.107715e-04 5.975278e-02
1.425071e+01 1.106239e-04 5.975303e-02
1.430072e+01 1.104771e-04 5.975327e-02
1.435072e+01 1.103310e-04 5.975351e-02
1.440072e+01 1.101857e-04 5.975375e-02
1.445072e+01 1.100411e-04 5.975399e-02
1.450073e+01 1.098972e-04 5.975423e-02
1.455073e+01 1.097541e-04 5.975446e-02
1.460073e+01 1.096117e-04 5.975469e-02
1.465073e+01 1.094701e-04 5.975492e-02
1.470074e+01 1.093291e-04 5.975515e-02
1.475074e+01 1.091889e-04 5.975537e-02
1.480074e+01 1.090494e-04 5.975559e-02
1.485074e+01 1.089106e-04 5.975581e-02
