t mart.cavg aust.cavg
1.260000e-02 3.329960e-02 3.364568e-02
1.265000e-02 3.329911e-02 3.364579e-02
1.270000e-02 3.329861e-02 3.364590e-02
1.275000e-02 3.329812e-02 3.364602e-02
1.280000e-02 3.329763e-02 3.364613e-02
1.285000e-02 3.329713e-02 3.364624e-02
1.290000e-02 3.329664e-02 3.364636e-02
1.295000e-02 3.329615e-02 3.364647e-02
1.300000e-02 3.329566e-02 3.364659e-02
1.305000e-02 3.329516e-02 3.364670e-02
1.310000e-02 3.329467e-02 3.364681e-02
1.315000e-02 3.329418e-02 3.364693e-02
1.320000e-02 3.329369e-02 3.364704e-02
1.325000e-02 3.329320e-02 3.364715e-02
1.330000e-02 3.329271e-02 3.364727e-02
1.335000e-02 3.329222e-02 3.364738e-02
1.340000e-02 3.329173e-02 3.364749e-02
1.345000e-02 3.329124e-02 3.364761e-02
1.350000e-02 3.329075e-02 3.364772e-02
1.355000e-02 3.329026e-02 3.364783e-02
1.360000e-02 3.328977e-02 3.364795e-02
1.365000e-02 3.328928e-02 3.364806e-02
1.370000e-02 3.328879e-02 3.364817e-02
1.375000e-02 3.328831e-02 3.364829e-02
1.380000e-02 3.328782e-02 3.364840e-02
1.385000e-02 3.328733e-02 3.364851e-02
1.390000e-02 3.328684e-02 3.364863e-02
1.395000e-02 3.328635e-02 3.364874e-02
1.400000e-02 3.328587e-02 3.364885e-02
1.405000e-02 3.328538e-02 3.364897e-02
1.410000e-02 3.328489e-02 3.364908e-02
1.415000e-02 3.328441e-02 3.364920e-02
1.420000e-02 3.328392e-02 3.364931e-02
1.425000e-02 3.328343e-02 3.364942e-02
1.430000e-02 3.328295e-02 3.364954e-02
1.435000e-02 3.328246e-02 3.364965e-02
1.440000e-02 3.328198e-02 3.364976e-02
1.445000e-02 3.328149e-02 3.364988e-02
1.450000e-02 3.328101e-02 3.364999e-02
1.455000e-02 3.328052e-02 3.365010e-02
1.460000e-02 3.328004e-02 3.365022e-02
1.465000e-02 3.327955e-02 3.365033e-02
1.470000e-02 3.327907e-02 3.365044e-02
1.475000e-02 3.327859e-02 3.365056e-02
1.480000e-02 3.327810e-02 3.365067e-02
1.485000e-02 3.327762e-02 3.365079e-02
1.490000e-02 3.327714e-02 3.365090e-02
1.495000e-02 3.327665e-02 3.365101e-02
1.500000e-02 3.327617e-02 3.365113e-02
1.505000e-02 3.327569e-02 3.365124e-02
1.510000e-02 3.327521e-02 3.365135e-02
1.515000e-02 3.327472e-02 3.365147e-02
1.520000e-02 3.327424e-02 3.365158e-02
1.525000e-02 3.327376e-02 3.365169e-02
1.530000e-02 3.327328e-02 3.365181e-02
1.535000e-02 3.327280e-02 3.365192e-02
1.540000e-02 3.327232e-02 3.365204e-02
1.545000e-02 3.327184e-02 3.365215e-02
1.550000e-02 3.327136e-02 3.365226e-02
1.555000e-02 3.327088e-02 3.365238e-02
1.560000e-02 3.327040e-02 3.365249e-02
1.565000e-02 3.326992e-02 3.365260e-02
1.570000e-02 3.326944e-02 3.365272e-02
1.575000e-02 3.326896e-02 3.365283e-02
1.580000e-02 3.326848e-02 3.365294e-02
1.585000e-02 3.326800e-02 3.365306e-02
1.590000e-02 3.326752e-02 3.365317e-02
1.595000e-02 3.326705e-02 3.365329e-02
1.600000e-02 3.326657e-02 3.365340e-02
1.605000e-02 3.326609e-02 3.365351e-02
1.610000e-02 3.326561e-02 3.365363e-02
1.615000e-02 3.326514e-02 3.365374e-02
