t mart.cavg aust.cavg
1.100000e-02 3.344721e-02 3.331743e-02
1.105000e-02 3.344723e-02 3.331740e-02
1.110000e-02 3.344726e-02 3.331738e-02
1.115000e-02 3.344728e-02 3.331735e-02
1.120000e-02 3.344731e-02 3.331732e-02
1.125000e-02 3.344733e-02 3.331729e-02
1.130000e-02 3.344735e-02 3.331726e-02
1.135000e-02 3.344738e-02 3.331723e-02
1.140000e-02 3.344740e-02 3.331720e-02
1.145000e-02 3.344742e-02 3.331717e-02
1.150000e-02 3.344745e-02 3.331715e-02
1.155000e-02 3.344747e-02 3.331712e-02
1.160000e-02 3.344750e-02 3.331709e-02
1.165000e-02 3.344752e-02 3.331706e-02
1.170000e-02 3.344754e-02 3.331703e-02
1.175000e-02 3.344757e-02 3.331700e-02
1.180000e-02 3.344759e-02 3.331697e-02
1.185000e-02 3.344762e-02 3.331695e-02
1.190000e-02 3.344764e-02 3.331692e-02
1.195000e-02 3.344766e-02 3.331689e-02
1.200000e-02 3.344769e-02 3.331686e-02
1.205000e-02 3.344771e-02 3.331683e-02
1.210000e-02 3.344773e-02 3.331680e-02
1.215000e-02 3.344776e-02 3.331677e-02
1.220000e-02 3.344778e-02 3.331675e-02
1.225000e-02 3.344781e-02 3.331672e-02
1.230000e-02 3.344783e-02 3.331669e-02
1.235000e-02 3.344785e-02 3.331666e-02
1.240000e-02 3.344788e-02 3.331663e-02
1.245000e-02 3.344790e-02 3.331660e-02
1.250000e-02 3.344792e-02 3.331657e-02
1.255000e-02 3.344795e-02 3.331655e-02
1.260000e-02 3.344797e-02 3.331652e-02
1.265000e-02 3.344800e-02 3.331649e-02
1.270000e-02 3.344802e-02 3.331646e-02
1.275000e-02 3.344804e-02 3.331643e-02
1.280000e-02 3.344807e-02 3.331640e-02
1.285000e-02 3.344809e-02 3.331638e-02
1.290000e-02 3.344811e-02 3.331635e-02
1.295000e-02 3.344814e-02 3.331632e-02
1.300000e-02 3.344816e-02 3.331629e-02
1.305000e-02 3.344819e-02 3.331626e-02
1.310000e-02 3.344821e-02 3.331623e-02
1.315000e-02 3.344823e-02 3.331620e-02
1.320000e-02 3.344826e-02 3.331618e-02
1.325000e-02 3.344828e-02 3.331615e-02
1.330000e-02 3.344830e-02 3.331612e-02
1.335000e-02 3.344833e-02 3.331609e-02
1.340000e-02 3.344835e-02 3.331606e-02
1.345000e-02 3.344838e-02 3.331603e-02
1.350000e-02 3.344840e-02 3.331601e-02
1.355000e-02 3.344842e-02 3.331598e-02
1.360000e-02 3.344845e-02 3.331595e-02
1.365000e-02 3.344847e-02 3.331592e-02
1.370000e-02 3.344849e-02 3.331589e-02
1.375000e-02 3.344852e-02 3.331586e-02
1.380000e-02 3.344854e-02 3.331584e-02
1.385000e-02 3.344856e-02 3.331581e-02
1.390000e-02 3.344859e-02 3.331578e-02
1.395000e-02 3.344861e-02 3.331575e-02
1.400000e-02 3.344864e-02 3.331572e-02
1.405000e-02 3.344866e-02 3.331569e-02
1.410000e-02 3.344868e-02 3.331567e-02
1.415000e-02 3.344871e-02 3.331564e-02
1.420000e-02 3.344873e-02 3.331561e-02
1.425000e-02 3.344875e-02 3.331558e-02
1.430000e-02 3.344878e-02 3.331555e-02
1.435000e-02 3.344880e-02 3.331553e-02
1.440000e-02 3.344882e-02 3.331550e-02
1.445000e-02 3.344885e-02 3.331547e-02
1.450000e-02 3.344887e-02 3.331544e-02
1.455000e-02 3.344890e-02 3.331541e-02
1.460000e-02 3.344892e-02 3.331538e-02
1.465000e-02 3.344894e-02 3.331536e-02
1.470000e-02 3.344897e-02 3.331533e-02
1.475000e-02 3.344899e-02 3.331530e-02
1.480000e-02 3.344901e-02 3.331527e-02
1.485000e-02 3.344904e-02 3.331524e-02
1.490000e-02 3.344906e-02 3.331522e-02
1.495000e-02 3.344908e-02 3.331519e-02
1.500000e-02 3.344911e-02 3.331516e-02
1.505000e-02 3.344913e-02 3.331513e-02
1.510000e-02 3.344915e-02 3.331510e-02
1.515000e-02 3.344918e-02 3.331507e-02
1.520000e-02 3.344920e-02 3.331505e-02
1.525000e-02 3.344922e-02 3.331502e-02
1.530000e-02 3.344925e-02 3.331499e-02
1.535000e-02 3.344927e-02 3.331496e-02
1.540000e-02 3.344930e-02 3.331493e-02
1.545000e-02 3.344932e-02 3.331491e-02
1.550000e-02 3.344934e-02 3.331488e-02
1.555000e-02 3.344937e-02 3.331485e-02
1.560000e-02 3.344939e-02 3.331482e-02
1.565000e-02 3.344941e-02 3.331479e-02
1.570000e-02 3.344944e-02 3.331477e-02
1.575000e-02 3.344946e-02 3.331474e-02
1.580000e-02 3.344948e-02 3.331471e-02
1.585000e-02 3.344951e-02 3.331468e-02
1.590000e-02 3.344953e-02 3.331465e-02
1.595000e-02 3.344955e-02 3.331463e-02
1.600000e-02 3.344958e-02 3.331460e-02
1.605000e-02 3.344960e-02 3.331457e-02
1.610000e-02 3.344962e-02 3.331454e-02
1.615000e-02 3.344965e-02 3.331451e-02
1.620000e-02 3.344967e-02 3.331449e-02
1.625000e-02 3.344969e-02 3.331446e-02
1.630000e-02 3.344972e-02 3.331443e-02
1.635000e-02 3.344974e-02 3.331440e-02
1.640000e-02 3.344976e-02 3.331438e-02
1.645000e-02 3.344979e-02 3.331435e-02
1.650000e-02 3.344981e-02 3.331432e-02
1.655000e-02 3.344983e-02 3.331429e-02
1.660000e-02 3.344986e-02 3.331426e-02
1.665000e-02 3.344988e-02 3.331424e-02
1.670000e-02 3.344991e-02 3.331421e-02
1.675000e-02 3.344993e-02 3.331418e-02
1.680000e-02 3.344995e-02 3.331415e-02
1.685000e-02 3.344998e-02 3.331412e-02
1.690000e-02 3.345000e-02 3.331410e-02
1.695000e-02 3.345002e-02 3.331407e-02
1.700000e-02 3.345005e-02 3.331404e-02
1.705000e-02 3.345007e-02 3.331401e-02
1.710000e-02 3.345009e-02 3.331399e-02
1.715000e-02 3.345012e-02 3.331396e-02
1.720000e-02 3.345014e-02 3.331393e-02
1.725000e-02 3.345016e-02 3.331390e-02
1.730000e-02 3.345019e-02 3.331387e-02
1.735000e-02 3.345021e-02 3.331385e-02
1.740000e-02 3.345023e-02 3.331382e-02
1.745000e-02 3.345026e-02 3.331379e-02
1.750000e-02 3.345028e-02 3.331376e-02
1.755000e-02 3.345030e-02 3.331374e-02
1.760000e-02 3.345033e-02 3.331371e-02
1.765000e-02 3.345035e-02 3.331368e-02
1.770000e-02 3.345037e-02 3.331365e-02
1.775000e-02 3.345040e-02 3.331363e-02
1.780000e-02 3.345042e-02 3.331360e-02
1.785000e-02 3.345044e-02 3.331357e-02
1.790000e-02 3.345047e-02 3.331354e-02
1.795000e-02 3.345049e-02 3.331351e-02
1.800000e-02 3.345051e-02 3.331349e-02
1.805000e-02 3.345054e-02 3.331346e-02
1.810000e-02 3.345056e-02 3.331343e-02
1.815000e-02 3.345058e-02 3.331340e-02
1.820000e-02 3.345061e-02 3.331338e-02
1.825000e-02 3.345063e-02 3.331335e-02
1.830000e-02 3.345065e-02 3.331332e-02
1.835000e-02 3.345068e-02 3.331329e-02
1.840000e-02 3.345070e-02 3.331327e-02
1.845000e-02 3.345072e-02 3.331324e-02
1.850000e-02 3.345075e-02 3.331321e-02
1.855000e-02 3.345077e-02 3.331318e-02
1.860000e-02 3.345079e-02 3.331316e-02
1.865000e-02 3.345082e-02 3.331313e-02
1.870000e-02 3.345084e-02 3.331310e-02
1.875000e-02 3.345086e-02 3.331307e-02
1.880000e-02 3.345088e-02 3.331305e-02
1.885000e-02 3.345091e-02 3.331302e-02
1.890000e-02 3.345093e-02 3.331299e-02
1.895000e-02 3.345095e-02 3.331296e-02
1.900000e-02 3.345098e-02 3.331294e-02
1.905000e-02 3.345100e-02 3.331291e-02
1.910000e-02 3.345102e-02 3.331288e-02
1.915000e-02 3.345105e-02 3.331285e-02
1.920000e-02 3.345107e-02 3.331283e-02
1.925000e-02 3.345109e-02 3.331280e-02
