t mart aus1 fer1 aus2 fer2
4.450223e-01 3.162104e-02 3.576182e-02 2.888701e-05 3.479042e-02 2.885464e-05
4.500225e-01 3.161215e-02 3.577813e-02 2.893990e-05 3.480428e-02 2.890845e-05
4.550228e-01 3.160331e-02 3.579437e-02 2.899167e-05 3.481810e-02 2.896116e-05
4.600230e-01 3.159453e-02 3.581054e-02 2.904256e-05 3.483187e-02 2.901283e-05
4.650233e-01 3.158579e-02 3.582664e-02 2.909262e-05 3.484561e-02 2.906359e-05
4.700235e-01 3.157709e-02 3.584267e-02 2.914187e-05 3.485930e-02 2.911348e-05
4.750238e-01 3.156844e-02 3.585864e-02 2.919035e-05 3.487295e-02 2.916257e-05
4.800240e-01 3.155984e-02 3.587453e-02 2.923806e-05 3.488656e-02 2.921087e-05
4.850243e-01 3.155129e-02 3.589036e-02 2.928504e-05 3.490013e-02 2.925840e-05
4.900245e-01 3.154277e-02 3.590612e-02 2.933130e-05 3.491367e-02 2.930519e-05
4.950248e-01 3.153431e-02 3.592182e-02 2.937686e-05 3.492716e-02 2.935127e-05
5.000250e-01 3.152588e-02 3.593745e-02 2.942173e-05 3.494061e-02 2.939664e-05
5.050253e-01 3.151750e-02 3.595302e-02 2.946593e-05 3.495402e-02 2.944132e-05
5.100255e-01 3.150915e-02 3.596853e-02 2.950949e-05 3.496739e-02 2.948534e-05
5.150258e-01 3.150085e-02 3.598397e-02 2.955241e-05 3.498072e-02 2.952871e-05
5.200260e-01 3.149259e-02 3.599936e-02 2.959471e-05 3.499402e-02 2.957144e-05
5.250263e-01 3.148437e-02 3.601468e-02 2.963640e-05 3.500727e-02 2.961355e-05
5.300265e-01 3.147619e-02 3.602994e-02 2.967750e-05 3.502049e-02 2.965506e-05
5.350268e-01 3.146805e-02 3.604515e-02 2.971803e-05 3.503367e-02 2.969598e-05
5.400270e-01 3.145994e-02 3.606029e-02 2.975799e-05 3.504681e-02 2.973632e-05
5.450273e-01 3.145188e-02 3.607538e-02 2.979740e-05 3.505992e-02 2.977609e-05
5.500275e-01 3.144385e-02 3.609041e-02 2.983624e-05 3.507299e-02 2.981532e-05
5.550278e-01 3.143585e-02 3.610539e-02 2.987438e-05 3.508602e-02 2.985393e-05
5.600280e-01 3.142790e-02 3.612031e-02 2.991182e-05 3.509902e-02 2.989185e-05
5.650283e-01 3.141997e-02 3.613518e-02 2.994873e-05 3.511197e-02 2.992915e-05
5.700285e-01 3.141209e-02 3.614999e-02 2.998513e-05 3.512490e-02 2.996589e-05
5.750288e-01 3.140424e-02 3.616474e-02 3.002104e-05 3.513778e-02 3.000211e-05
