t mart aust
8.154077e-02 2.110839e-02 4.120208e-02
8.204102e-02 2.107092e-02 4.122947e-02
8.254127e-02 2.103356e-02 4.125686e-02
8.304152e-02 2.099632e-02 4.128426e-02
8.354177e-02 2.095919e-02 4.131167e-02
8.404202e-02 2.092218e-02 4.133904e-02
8.454227e-02 2.088527e-02 4.136632e-02
8.504252e-02 2.084847e-02 4.139345e-02
8.554277e-02 2.081178e-02 4.142042e-02
8.604302e-02 2.077520e-02 4.144723e-02
8.654327e-02 2.073872e-02 4.147392e-02
8.704352e-02 2.070235e-02 4.150056e-02
8.754377e-02 2.066608e-02 4.152718e-02
8.804402e-02 2.062992e-02 4.155380e-02
8.854427e-02 2.059386e-02 4.158043e-02
8.904452e-02 2.055791e-02 4.160703e-02
8.954477e-02 2.052205e-02 4.163355e-02
9.004502e-02 2.048630e-02 4.165995e-02
9.054527e-02 2.045064e-02 4.168620e-02
9.104552e-02 2.041508e-02 4.171231e-02
9.154577e-02 2.037963e-02 4.173831e-02
9.204602e-02 2.034427e-02 4.176424e-02
9.254627e-02 2.030900e-02 4.179013e-02
9.304652e-02 2.027383e-02 4.181602e-02
9.354677e-02 2.023876e-02 4.184191e-02
9.404702e-02 2.020378e-02 4.186779e-02
9.454727e-02 2.016890e-02 4.189361e-02
9.504752e-02 2.013411e-02 4.191934e-02
9.554777e-02 2.009941e-02 4.194495e-02
9.604802e-02 2.006480e-02 4.197043e-02
9.654827e-02 2.003029e-02 4.199580e-02
9.704852e-02 1.999586e-02 4.202107e-02
9.754877e-02 1.996153e-02 4.204629e-02
9.804902e-02 1.992728e-02 4.207149e-02
9.854927e-02 1.989312e-02 4.209669e-02
9.904952e-02 1.985905e-02 4.212188e-02
9.954977e-02 1.982507e-02 4.214704e-02
1.000500e-01 1.979117e-02 4.217214e-02
1.005503e-01 1.975736e-02 4.219716e-02
1.010505e-01 1.972363e-02 4.222206e-02
1.015508e-01 1.968999e-02 4.224686e-02
1.020510e-01 1.965644e-02 4.227154e-02
1.025513e-01 1.962296e-02 4.229616e-02
1.030515e-01 1.958958e-02 4.232072e-02
