t mart.ci0 mart.cin aus1.ci0 aus1.cin fer1.ci0 fer1.cin aus2.ci0 aus2.cin fer2.ci0 fer2.cin
2.400120e-01 2.782486e-02 2.548826e-02 1.128870e-01 5.604213e-02 2.556057e-05 2.558003e-05 5.606481e-02 5.510306e-02 2.476367e-05 2.476367e-05
2.450123e-01 2.775800e-02 2.545236e-02 1.128870e-01 5.618127e-02 2.568011e-05 2.569965e-05 5.620396e-02 5.526126e-02 2.489655e-05 2.489655e-05
2.500125e-01 2.769218e-02 2.541629e-02 1.128870e-01 5.631689e-02 2.579715e-05 2.581675e-05 5.633954e-02 5.541536e-02 2.502667e-05 2.502667e-05
2.550128e-01 2.762735e-02 2.538006e-02 1.128870e-01 5.644911e-02 2.591178e-05 2.593140e-05 5.647169e-02 5.556555e-02 2.515415e-05 2.515415e-05
2.600130e-01 2.756347e-02 2.534369e-02 1.128870e-01 5.657805e-02 2.602405e-05 2.604368e-05 5.660053e-02 5.571198e-02 2.527906e-05 2.527906e-05
2.650133e-01 2.750050e-02 2.530722e-02 1.128870e-01 5.670382e-02 2.613403e-05 2.615364e-05 5.672618e-02 5.585555e-02 2.540117e-05 2.540117e-05
2.700135e-01 2.743840e-02 2.527066e-02 1.128870e-01 5.682696e-02 2.624144e-05 2.626091e-05 5.684926e-02 5.599543e-02 2.552059e-05 2.552059e-05
2.750138e-01 2.737713e-02 2.523403e-02 1.128870e-01 5.694638e-02 2.634586e-05 2.636510e-05 5.696834e-02 5.613176e-02 2.563751e-05 2.563751e-05
2.800140e-01 2.731666e-02 2.519735e-02 1.128870e-01 5.706247e-02 2.644775e-05 2.646687e-05 5.708420e-02 5.626473e-02 2.575208e-05 2.575208e-05
2.850143e-01 2.725696e-02 2.516063e-02 1.128870e-01 5.717562e-02 2.654745e-05 2.656645e-05 5.719713e-02 5.639450e-02 2.586437e-05 2.586437e-05
2.900145e-01 2.719800e-02 2.512388e-02 1.128870e-01 5.728601e-02 2.664508e-05 2.666394e-05 5.730729e-02 5.652116e-02 2.597446e-05 2.597446e-05
2.950148e-01 2.713975e-02 2.508713e-02 1.128870e-01 5.739373e-02 2.674070e-05 2.675941e-05 5.741477e-02 5.664484e-02 2.608240e-05 2.608240e-05
3.000150e-01 2.708218e-02 2.505037e-02 1.128870e-01 5.749890e-02 2.683437e-05 2.685292e-05 5.751968e-02 5.676583e-02 2.618815e-05 2.618815e-05
3.050153e-01 2.702527e-02 2.501362e-02 1.128870e-01 5.760159e-02 2.692616e-05 2.694453e-05 5.762210e-02 5.688420e-02 2.629144e-05 2.629144e-05
3.100155e-01 2.696899e-02 2.497690e-02 1.128870e-01 5.770189e-02 2.701612e-05 2.703429e-05 5.772211e-02 5.699919e-02 2.639216e-05 2.639216e-05
3.150158e-01 2.691333e-02 2.494020e-02 1.128870e-01 5.780016e-02 2.710403e-05 2.712192e-05 5.782015e-02 5.711122e-02 2.649066e-05 2.649066e-05
3.200160e-01 2.685826e-02 2.490354e-02 1.128870e-01 5.789614e-02 2.719000e-05 2.720764e-05 5.791579e-02 5.722053e-02 2.658713e-05 2.658713e-05
3.250163e-01 2.680376e-02 2.486693e-02 1.128870e-01 5.798987e-02 2.727421e-05 2.729162e-05 5.800921e-02 5.732726e-02 2.668165e-05 2.668165e-05
3.300165e-01 2.674981e-02 2.483036e-02 1.128870e-01 5.808149e-02 2.735678e-05 2.737395e-05 5.810050e-02 5.743152e-02 2.677431e-05 2.677431e-05
3.350168e-01 2.669640e-02 2.479386e-02 1.128870e-01 5.817107e-02 2.743775e-05 2.745468e-05 5.818976e-02 5.753339e-02 2.686516e-05 2.686516e-05
3.400170e-01 2.664351e-02 2.475741e-02 1.128870e-01 5.825868e-02 2.751718e-05 2.753386e-05 5.827704e-02 5.763295e-02 2.695426e-05 2.695426e-05
3.450173e-01 2.659112e-02 2.472103e-02 1.128870e-01 5.834439e-02 2.759510e-05 2.761152e-05 5.836241e-02 5.773029e-02 2.704163e-05 2.704163e-05
3.500175e-01 2.653922e-02 2.468472e-02 1.128870e-01 5.842825e-02 2.767156e-05 2.768771e-05 5.844593e-02 5.782593e-02 2.712709e-05 2.712709e-05
3.550178e-01 2.648779e-02 2.464849e-02 1.128870e-01 5.851031e-02 2.774658e-05 2.776247e-05 5.852766e-02 5.791929e-02 2.721078e-05 2.721078e-05
